Subject,Group,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Acc,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,musicaltraining,Gender,Assign
S07,native,1199.6,Tone 3,normal003_把-a-Tone_3.mp3,speaker003,把,a,Tone 3,normal,1,11,0.018803786,-0.378383701,1.935655402,1.016710854,0.436629152,0.445,154.4214516,0,1,1
S07,native,1872.7,Tone 3,normal003_渴-e-Tone_3.mp3,speaker003,渴,e,Tone 3,normal,1,11,0.018803786,-0.378383701,2.484370594,1.241323153,0,0.445,128.1497811,0,1,1
S07,native,1016.7,Tone 2,normal003_无-u-Tone_2.mp3,speaker003,无,u,Tone 2,normal,1,8,0.010090814,-0.213356667,0.53437414,2.54997861,1.294316806,0.378,222.5361508,0,1,0
S07,native,1342.5,Tone 2,normal006_无-u-Tone_2.mp3,speaker006,无,u,Tone 2,normal,1,1,0.026350792,-0.478999168,1.060894298,2.018880386,1.084104411,0.337,199.5300469,0,1,0
S07,native,1936.2,Tone 2,normal011_咳-e-Tone_2.mp3,speaker011,咳,e,Tone 2,normal,1,10,0.011636851,-0.245867602,0.624356893,2.90835013,1.404899817,0.289,185.9026613,0,1,0
S07,native,1661.9,Tone 3,normal009_把-a-Tone_3.mp3,speaker009,把,a,Tone 3,normal,1,8,0.00401111,0.00324491,1.039020111,1.097282587,0.367975317,0.355,174.0535673,0,1,1
S07,native,1776.9,Tone 3,normal009_雨-y-Tone_3.mp3,speaker009,雨,y,Tone 3,normal,1,12,0.003902645,-0.017436149,1.641753668,1.285694472,0.244491119,0.418,184.8160561,0,1,1
S07,native,1714.1,Tone 3,normal009_底-i-Tone_3.mp3,speaker009,底,i,Tone 3,normal,1,11,0.00401111,0.00324491,0.836804706,1.417981662,0.613878891,0.425,196.1631352,0,1,1
S07,native,955.4,Tone 2,normal009_咳-e-Tone_2.mp3,speaker009,咳,e,Tone 2,normal,1,8,0.00401111,0.00324491,0.574525468,2.189151385,0.93282295,0.23,209.9206404,0,1,0
S07,native,988.3,Tone 2,normal009_无-u-Tone_2.mp3,speaker009,无,u,Tone 2,normal,1,7,0.00401111,0.00324491,0.6055243,2.082992758,0.895126893,0.28,213.3364928,0,1,0
S07,native,1045.7,Tone 2,normal009_拔-a-Tone_2.mp3,speaker009,拔,a,Tone 2,normal,1,9,0.00401111,0.00324491,0.70145167,2.020527006,0.778474637,0.274,199.6530362,0,1,0
S07,native,1221.7,Tone 3,normal008_渴-e-Tone_3.mp3,speaker008,渴,e,Tone 3,normal,1,8,0.005364337,-0.085249935,2.259159029,1.727580674,1.155221816,0.36,95.055585,0,1,1
S07,native,1626.3,Tone 3,normal008_雨-y-Tone_3.mp3,speaker008,雨,y,Tone 3,normal,1,14,0.005364337,-0.085249935,2.466637735,1.462805375,0.60134162,0.428,89.48565149,0,1,1
S07,native,1909.8,Tone 2,normal008_鱼-y-Tone_2.mp3,speaker008,鱼,y,Tone 2,normal,1,11,0.005364337,-0.085249935,2.067511381,2.312294238,1.666839796,0.337,107.6134278,0,1,0
S07,native,1236.1,Tone 3,normal009_渴-e-Tone_3.mp3,speaker009,渴,e,Tone 3,normal,1,12,0.00401111,0.00324491,1.053449824,1.18180051,0.350428097,0.316,178.1423984,0,1,1
S07,native,919,Tone 2,normal008_拔-a-Tone_2.mp3,speaker008,拔,a,Tone 2,normal,1,7,0.005364337,-0.085249935,2.1663983,2.315229483,1.40285364,0.278,103.5425725,0,1,0
S07,native,1416.5,Tone 2,normal007_鱼-y-Tone_2.mp3,speaker007,鱼,y,Tone 2,normal,1,1,0.01361973,-0.279186217,0.465320651,2.535401175,1.804159872,0.321,210.0862935,0,1,0
S07,native,1451.3,Tone 3,normal009_五-u-Tone_3.mp3,speaker009,五,u,Tone 3,normal,1,13,0.003902645,-0.017436149,1.84280756,1.218280432,0,0.368,178.8478637,0,1,1
S07,native,768.7,Tone 2,normal009_敌-i-Tone_2.mp3,speaker009,敌,i,Tone 2,normal,1,8,0.00401111,0.00324491,0.503208219,2.225829585,1.019548126,0.282,216.1150673,0,1,0
S07,native,1568.2,Tone 2,normal008_敌-i-Tone_2.mp3,speaker008,敌,i,Tone 2,normal,1,10,0.005364337,-0.085249935,2.000079069,2.324321401,1.846855486,0.295,112.0016426,0,1,0
S07,native,1051.7,Tone 2,normal008_无-u-Tone_2.mp3,speaker008,无,u,Tone 2,normal,1,7,0.005364337,-0.085249935,2.114673252,2.351583681,1.540937593,0.325,107.0142469,0,1,0
S07,native,1499.1,Tone 2,normal009_鱼-y-Tone_2.mp3,speaker009,鱼,y,Tone 2,normal,1,7,0.003902645,-0.017436149,0.984359555,2.421665197,1.043913706,0.259,224.6072173,0,1,0
S07,native,1522.4,Tone 3,normal008_五-u-Tone_3.mp3,speaker008,五,u,Tone 3,normal,1,13,0.005364337,-0.085249935,2.691895077,1.730806067,0,0.459,86.64313281,0,1,1
S07,native,1104.8,Tone 3,normal011_五-u-Tone_3.mp3,speaker011,五,u,Tone 3,normal,1,13,0.011636851,-0.245867602,1.427334662,2.24842117,0.417455906,0.522,165.3574631,0,1,1
