Subject,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Group,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,Length,HSKlevel,Gender,Assign
S06,1280,Tone 2,loud009_拔-a-Tone_2.mp3,speaker009,拔,a,Tone 2,loud,learner,8,0.005364337,-0.085249935,0.243197101,3.945625485,1.787056899,0.398,290.305989,6,5,0,0
S06,2844,Tone 3,loud009_渴-e-Tone_3.mp3,speaker009,渴,e,Tone 3,loud,learner,13,0.00401111,0.00324491,0.39090426,2.941230737,1.156115095,0.498,258.9207687,6,5,0,1
S06,1290,Tone 2,loud013_敌-i-Tone_2.mp3,speaker013,敌,i,Tone 2,loud,learner,1,0.011498732,-0.204874096,1.236541667,4.957920422,1.984056254,0.364,186.6450199,6,5,0,0
S06,1592,Tone 2,loud011_咳-e-Tone_2.mp3,speaker011,咳,e,Tone 2,loud,learner,12,0.007531449,-0.082714379,0.984561515,3.406599249,1.84759121,0.322,213.1757814,6,5,0,0
S06,1281,Tone 2,loud018_无-u-Tone_2.mp3,speaker018,无,u,Tone 2,loud,learner,7,0.007184905,-0.162558023,1.32162867,2.794604664,0.893853705,0.273,141.8088386,6,5,0,0
S06,1503,Tone 3,loud013_鱼-y-Tone_2.mp3,speaker013,鱼,y,Tone 2,loud,learner,6,0.005542185,-0.093890355,0.937088653,4.596729341,1.886558082,0.39,188.298156,6,5,0,1
S06,3243,Tone 2,loud019_无-u-Tone_2.mp3,speaker019,无,u,Tone 2,loud,learner,7,0.006571484,-0.064138306,-0.279363177,3.830550066,2.948240119,0.378,238.2202812,6,5,0,0
S06,2893,Tone 2,loud014_把-a-Tone_3.mp3,speaker014,把,a,Tone 3,loud,learner,10,0.008699507,-0.171134143,1.110390711,2.695906774,1.116209523,0.407,123.8297818,6,5,0,0
S06,1162,Tone 2,loud018_拔-a-Tone_2.mp3,speaker018,拔,a,Tone 2,loud,learner,1,0.002780042,-0.026076429,1.536430886,2.885984553,0.731312329,0.28,140.3336456,6,5,0,0
S06,2381,Tone 3,loud019_底-i-Tone_3.mp3,speaker019,底,i,Tone 3,loud,learner,10,0.006571484,-0.064138306,0.366341018,3.392345389,1.881254262,0.407,208.1888237,6,5,0,1
S06,3047,Tone 2,loud019_咳-e-Tone_2.mp3,speaker019,咳,e,Tone 2,loud,learner,12,0.006571484,-0.064138306,-0.125288688,4.004584082,2.693641649,0.348,225.7529447,6,5,0,0
